,CountryCode,Amount,Value,PricingStrategy,FraudResult,TransactionStartTime_hour,TransactionStartTime_day,TransactionStartTime_month,TransactionStartTime_year,TransactionStartTime_dayofweek
CountryCode,1.0,,,,,,,,,
Amount,,1.0,0.4608510919178647,-0.11855698260701361,0.061728774316595396,-0.011608709372558243,0.029559432957893546,-0.03153163285799491,0.042437701144789015,0.07967396500375326
Value,,0.4608510919178647,1.0,0.1818213506647846,0.06511018698074804,-0.01423456263935816,-0.09949089236410483,-0.0410635169257474,0.05514541818557696,0.01079263866496147
PricingStrategy,,-0.11855698260701361,0.1818213506647846,1.0,-0.030763310400400076,0.0041365996046478235,-0.10537321285399273,-0.029682524974746792,0.027921289493907306,-0.10120378710287507
FraudResult,,0.061728774316595396,0.06511018698074804,-0.030763310400400076,1.0,0.006844152313902521,-0.007128404114064619,-0.004362699855210139,0.009811162968806955,-0.00632098483355849
TransactionStartTime_hour,,-0.011608709372558243,-0.01423456263935816,0.0041365996046478235,0.006844152313902521,1.0,-0.014300440029194167,0.01706382185273239,-0.008527241424492875,-0.002116671663521066
TransactionStartTime_day,,0.029559432957893546,-0.09949089236410483,-0.10537321285399273,-0.007128404114064619,-0.014300440029194167,1.0,0.02770448771041174,-0.20263985135498142,0.015538016837986234
TransactionStartTime_month,,-0.03153163285799491,-0.0410635169257474,-0.029682524974746792,-0.004362699855210139,0.01706382185273239,0.02770448771041174,1.0,-0.841141738338189,0.028929406707063614
TransactionStartTime_year,,0.042437701144789015,0.05514541818557696,0.027921289493907306,0.009811162968806955,-0.008527241424492875,-0.20263985135498142,-0.841141738338189,1.0,-0.01898839766557908
TransactionStartTime_dayofweek,,0.07967396500375326,0.01079263866496147,-0.10120378710287507,-0.00632098483355849,-0.002116671663521066,0.015538016837986234,0.028929406707063614,-0.01898839766557908,1.0
