,CountryCode,Amount,Value,PricingStrategy,FraudResult,TransactionStartTime_hour,TransactionStartTime_day,TransactionStartTime_month,TransactionStartTime_year,TransactionStartTime_dayofweek
CountryCode,,,,,,,,,,
Amount,,1.0,0.9896921359901202,-0.061930792420875715,0.5573700909352298,-0.0016109313608121223,-0.0039045531062524242,-0.00906017294583565,0.010738336660561334,0.004240776962388663
Value,,0.9896921359901202,1.0,-0.017019831874449717,0.5667386144277186,0.0004739523971954864,-0.024103538694946365,-0.01045156242748402,0.01200126178987152,-0.013758611161306018
PricingStrategy,,-0.061930792420875715,-0.017019831874449717,1.0,-0.033821070164584514,0.0074231671270434466,-0.13159734798846112,-0.03129053276770822,0.029756875137564975,-0.12289886092894348
FraudResult,,0.5573700909352298,0.5667386144277186,-0.033821070164584514,1.0,0.008295398584017379,-0.00863624057107236,-0.008886560812666052,0.009811162968733933,-0.00691252686588419
TransactionStartTime_hour,,-0.0016109313608121223,0.0004739523971954864,0.0074231671270434466,0.008295398584017379,1.0,-0.019464136463122814,0.012241190602177527,-0.009620962959516428,-0.0043454562305549355
TransactionStartTime_day,,-0.0039045531062524242,-0.024103538694946365,-0.13159734798846112,-0.00863624057107236,-0.019464136463122814,1.0,0.20783691393789913,-0.24749343294391118,0.022520828853924934
TransactionStartTime_month,,-0.00906017294583565,-0.01045156242748402,-0.03129053276770822,-0.008886560812666052,0.012241190602177527,0.20783691393789913,1.0,-0.9962049218591829,0.02564578287545226
TransactionStartTime_year,,0.010738336660561334,0.01200126178987152,0.029756875137564975,0.009811162968733933,-0.009620962959516428,-0.24749343294391118,-0.9962049218591829,1.0,-0.022820857927688808
TransactionStartTime_dayofweek,,0.004240776962388663,-0.013758611161306018,-0.12289886092894348,-0.00691252686588419,-0.0043454562305549355,0.022520828853924934,0.02564578287545226,-0.022820857927688808,1.0
